state,timestamp,latitude,longitude,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,pressure,uv_index,visibility,wind_bearing,wind_speed
Alabama,1981-09-15T12:00:00Z,32.31435,-85.16235,87.57,78.455,69.34,69.27,0.89,0.71,0.55,0.0364,1.0,1013.77,7.0,5.56,230.0,1.89
Alabama,1999-07-15T12:00:00Z,33.28375,-87.32655,86.54,78.44,70.34,70.47,0.8,0.38,0.1,,,1020.03,10.0,7.54,85.0,1.9
Alabama,1983-11-15T12:00:00Z,34.95605,-86.4559,55.21,48.27,41.33,43.82,0.74,0.96,0.34,0.032,1.0,1010.21,3.0,7.28,289.0,11.81
Alabama,2000-10-10T12:00:00Z,34.5422,-86.66465,66.51,48.85,31.19,26.19,0.51,0.0,0.41,0.0,0.0,1028.85,6.0,10.0,25.0,3.49
Alabama,1993-08-20T12:00:00Z,34.9263,-87.02025,92.63,81.64,70.65,74.23,0.83,0.58,0.11,0.0034,1.0,1015.8,7.0,5.52,228.0,1.48
Alabama,1999-11-15T12:00:00Z,34.80405,-87.50905,61.84,48.795,35.75,29.62,0.43,0.0,0.23,0.0,0.0,1018.53,4.0,10.0,0.0,7.32
Alabama,1978-04-15T12:00:00Z,34.92855,-87.1105,76.72,59.2,41.68,42.34,0.55,0.56,0.26,0.0,0.0,1019.14,5.0,9.91,40.0,2.63
Alabama,1980-11-15T12:00:00Z,33.13195,-88.17885,,,,,,,,,,,,,,
Alabama,1997-01-06T12:00:00Z,31.4515,-88.08305,,,,,,,,,,,,,,
Alabama,1990-09-15T12:00:00Z,33.97575,-87.45876,,,,,,,,,,,,,,
Alabama,1996-12-05T12:00:00Z,31.58255,-87.96095,,,,,,,,,,,,,,
Alabama,2000-06-01T12:00:00Z,34.4881,-86.6333,87.05,74.185,61.32,59.18,0.62,0.05,0.97,0.0,0.0,1021.06,10.0,9.45,151.0,3.79
Alabama,2001-10-15T12:00:00Z,34.6802,-87.00665,73.38,59.66,45.94,47.95,0.71,0.0,0.96,0.0,0.0,1020.64,6.0,10.0,125.0,3.17
Alabama,2000-02-10T12:00:00Z,31.16,-87.09069000000001,71.83,62.885,53.94,41.93,0.72,0.14,0.17,,,1017.85,5.0,7.89,206.0,6.13
Alabama,2007-09-01T12:00:00Z,33.13,-88.14999,87.0,80.435,73.87,,,,0.66,0.0,0.0,,0.0,,,
Alabama,2003-08-30T12:00:00Z,33.21145,-87.35664,90.0,81.03,72.06,73.43,0.85,0.6,0.1,0.018000000000000002,1.0,1020.25,9.0,9.65,185.0,1.11
Alabama,2003-06-28T12:00:00Z,33.26035,-87.31821,87.11,77.57,68.03,69.9,0.83,0.4,0.96,0.0,0.0,1015.77,8.0,10.0,83.0,0.35
Alabama,2004-05-28T12:00:00Z,34.7325,-86.52105,75.96,69.615,63.27,66.6,0.85,0.79,0.3,0.0037,1.0,1012.31,6.0,8.62,259.0,2.09
Alabama,2003-11-26T12:00:00Z,32.6218,-85.4258,64.6,57.605,50.61,36.96,0.64,0.05,0.11,0.0,0.0,1019.86,4.0,9.99,113.0,1.17
Alabama,2004-05-09T12:00:00Z,33.3674,-86.64066,89.48,78.525,67.57,58.77,0.61,0.16,0.68,0.0,0.0,1019.51,10.0,9.4,47.0,0.2
Alabama,2004-09-30T12:00:00Z,33.6205,-86.4664,78.01,66.605,55.2,51.38,0.69,0.0,0.57,0.0,0.0,1017.5,7.0,9.21,328.0,0.44
Alabama,1979-09-15T12:00:00Z,33.8132,-86.7891,77.66,68.66,59.66,58.11,0.77,0.1,0.82,,,1018.14,8.0,7.83,358.0,7.45
Alabama,2006-09-10T12:00:00Z,32.30673,-87.24547,89.81,78.92,68.03,,,,0.61,0.0,0.0,,0.0,,,
Alabama,2006-07-06T12:00:00Z,31.000020000000003,-86.99781999999999,84.82,77.8,70.78,71.25,0.8,0.57,0.35,0.0018,1.0,1016.47,6.0,7.42,183.0,0.84
