unique_squirrel_id,kuks,quaas,moans
37F-PM-1014-03,False,False,False
2E-AM-1010-03,False,False,False
5D-PM-1018-05,False,False,False
39B-AM-1018-01,True,False,False
33H-AM-1019-02,False,False,False
6G-PM-1020-02,False,False,False
35C-PM-1013-03,False,False,False
7B-AM-1008-09,False,False,False
32E-PM-1017-14,False,False,False
13E-AM-1017-05,False,False,False
11H-AM-1010-03,False,False,False
36H-AM-1010-02,False,False,False
33F-AM-1008-02,False,False,False
21C-PM-1006-01,False,False,False
11D-AM-1010-03,False,False,False
20B-PM-1013-05,False,False,False
36I-PM-1007-01,False,False,False
5C-PM-1010-09,False,False,False
7H-AM-1006-05,False,False,False
16C-PM-1018-03,False,False,False
14E-AM-1008-23,False,False,False
32A-PM-1013-03,False,False,False
33F-AM-1008-01,False,False,False
17F-AM-1007-07,False,False,False
16I-AM-1008-01,False,False,False
12I-AM-1013-01,False,False,False
32F-PM-1008-07,False,False,False
25A-AM-1013-04,False,False,False
15E-AM-1013-01,False,False,False
39G-PM-1013-06,False,False,False
29I-PM-1007-01,False,False,False
7E-AM-1006-02,False,False,False
17C-PM-1013-05,False,False,False
10A-PM-1014-01,False,False,False
28A-PM-1007-05,False,False,False
22F-PM-1014-05,False,False,False
12B-AM-1007-01,False,False,False
18A-PM-1018-01,False,False,False
36H-PM-1008-02,False,False,False
29C-AM-1007-06,False,False,False
38C-PM-1014-09,False,False,False
31H-PM-1008-02,False,False,False
8H-AM-1017-06,False,False,False
34F-AM-1007-01,False,False,False
13H-PM-1010-02,False,False,False
22F-PM-1014-06,False,False,False
32E-AM-1007-13,False,False,False
35C-AM-1007-05,False,False,False
17E-AM-1017-05,False,False,False
2B-PM-1013-01,False,False,False
19D-AM-1007-01,False,False,False
40B-AM-1019-03,False,False,False
3E-PM-1008-07,False,False,False
39C-PM-1006-01,False,False,False
6G-AM-1008-02,False,False,False
14F-AM-1007-05,False,False,False
6I-PM-1013-06,False,False,False
15F-PM-1010-05,False,False,False
8B-PM-1012-02,False,False,False
3A-PM-1017-06,False,False,False
36I-AM-1017-02,False,False,False
5E-AM-1008-06,False,False,False
32E-PM-1017-13,False,False,False
5F-PM-1007-03,False,False,False
11B-PM-1014-05,False,False,False
16E-PM-1018-06,False,False,False
13F-AM-1007-02,False,False,False
20B-PM-1013-10,False,False,False
3A-PM-1017-05,False,False,False
29H-PM-1006-01,False,False,False
23C-PM-1014-03,False,False,False
33C-PM-1007-03,False,False,False
38G-PM-1020-09,False,False,False
16G-PM-1017-01,False,False,False
36I-PM-1007-07,False,False,False
35A-AM-1014-03,False,False,False
28C-PM-1006-01,False,False,False
32D-AM-1013-06,False,False,False
22A-AM-1008-05,False,False,False
40B-PM-1014-06,False,False,False
19C-PM-1018-01,False,False,False
35A-PM-1013-06,False,False,False
14E-AM-1008-09,True,False,False
15G-PM-1019-05,False,False,False
10F-AM-1007-02,False,False,False
42E-PM-1012-06,False,False,False
22B-AM-1013-04,False,False,False
15F-PM-1010-06,False,False,False
5A-AM-1006-05,False,False,False
32H-PM-1006-01,False,False,False
42C-AM-1007-02,False,True,False
41D-AM-1014-01,False,False,False
21G-PM-1007-01,False,False,False
14E-AM-1008-02,False,False,False
7H-PM-1006-04,False,False,False
22F-AM-1007-01,False,False,False
7F-AM-1008-16,False,False,False
10F-PM-1019-05,False,False,False
10A-AM-1006-04,False,False,False
38F-PM-1013-05,True,True,False
41B-PM-1014-01,False,False,False
36A-PM-1013-07,False,False,False
5C-AM-1006-05,False,False,False
32E-PM-1017-03,False,False,False
31A-PM-1017-04,False,False,False
42G-AM-1018-03,False,False,False
37D-PM-1014-04,False,False,False
24B-AM-1013-01,False,False,False
7G-AM-1010-02,False,False,False
5C-PM-1010-13,False,False,False
15I-AM-1008-01,False,False,False
19B-PM-1018-01,False,False,False
13D-PM-1018-10,False,False,False
36I-PM-1007-10,False,False,False
41B-AM-1010-06,False,False,False
35B-AM-1010-01,False,False,False
40D-PM-1013-01,False,False,False
38B-PM-1018-02,False,False,False
40I-AM-1018-01,False,False,False
7B-AM-1008-10,False,False,False
13D-AM-1014-08,False,False,False
16G-AM-1010-03,True,False,False
40A-AM-1010-03,False,False,False
15I-PM-1012-07,False,False,False
3B-PM-1007-11,False,False,False
21D-AM-1008-02,False,False,False
10B-PM-1014-05,False,False,False
13E-PM-1008-07,False,False,False
41A-PM-1007-06,False,False,False
2F-AM-1006-05,False,False,False
20B-AM-1007-01,False,False,False
26A-PM-1006-06,False,False,False
35E-PM-1006-07,False,False,False
11G-PM-1013-01,False,False,False
36I-PM-1007-13,False,False,False
7A-AM-1006-01,False,True,False
7G-PM-1018-03,False,False,False
14E-AM-1008-05,False,False,False
3D-PM-1010-03,False,False,False
35D-PM-1013-09,False,False,False
7F-PM-1012-01,False,False,False
18G-PM-1013-01,False,False,False
6F-PM-1008-01,False,False,False
9F-AM-1013-04,False,False,False
38E-AM-1010-09,False,False,False
33G-AM-1013-02,False,False,False
39G-AM-1018-01,False,False,False
32G-PM-1013-03,False,False,False
4D-PM-1008-11,True,False,False
6H-AM-1008-01,False,False,False
5E-AM-1008-08,False,False,False
15D-PM-1017-01,False,False,False
16E-AM-1014-03,False,False,False
39H-PM-1013-02,False,False,False
39C-PM-1006-02,False,False,False
31A-AM-1010-04,False,False,False
9F-PM-1014-02,False,False,False
21G-PM-1007-02,False,False,False
2F-AM-1006-01,False,False,False
20F-PM-1007-01,False,False,False
35E-PM-1006-01,False,False,False
9G-AM-1007-04,False,False,False
5D-PM-1018-03,False,False,False
14F-PM-1012-06,False,False,False
23F-AM-1018-01,False,False,False
39A-PM-1014-02,False,False,False
13A-PM-1014-03,False,False,False
10B-AM-1006-02,False,False,False
38B-AM-1019-01,False,False,False
9G-PM-1007-06,False,False,False
40B-AM-1019-02,False,False,False
35D-PM-1013-04,False,False,False
10G-PM-1017-10,False,False,False
13C-AM-1010-04,False,False,False
32C-PM-1013-12,False,False,False
37F-PM-1014-01,False,False,False
31D-PM-1006-04,False,False,False
15I-PM-1012-03,False,False,False
19C-PM-1018-04,False,False,False
10F-PM-1019-12,False,False,False
18C-PM-1018-01,False,False,False
7B-AM-1008-11,False,False,False
40E-AM-1014-02,False,False,False
38B-AM-1019-05,False,True,False
3B-AM-1010-09,False,False,False
19B-AM-1019-02,False,False,False
41B-AM-1010-07,True,False,False
4G-AM-1006-02,False,False,False
12F-PM-1007-04,False,False,False
3B-AM-1010-08,False,False,False
17H-PM-1007-02,False,False,False
38G-PM-1020-01,False,False,False
